MonthYear,Unemployment_Rate
Jul-2001,4.6
Aug-2001,4.9
Sep-2001,5
Oct-2001,5.3
Nov-2001,5.5
Dec-2001,5.7
Jan-2002,5.7
Feb-2002,5.7
Mar-2002,5.7
Apr-2002,5.9
May-2002,5.8
Jun-2002,5.8
Jul-2002,5.8
Aug-2002,5.7
Sep-2002,5.7
Oct-2002,5.7
Nov-2002,5.9
Dec-2002,6
Jan-2003,5.8
Feb-2003,5.9
Mar-2003,5.9
Apr-2003,6
May-2003,6.1
Jun-2003,6.3
Jul-2003,6.2
Aug-2003,6.1
Sep-2003,6.1
Oct-2003,6
Nov-2003,5.8
Dec-2003,5.7
Jan-2004,5.7
Feb-2004,5.6
Mar-2004,5.8
Apr-2004,5.6
May-2004,5.6
Jun-2004,5.6
Jul-2004,5.5
Aug-2004,5.4
Sep-2004,5.4
Oct-2004,5.5
Nov-2004,5.4
Dec-2004,5.4
Jan-2005,5.3
Feb-2005,5.4
Mar-2005,5.2
Apr-2005,5.2
May-2005,5.1
Jun-2005,5
Jul-2005,5
Aug-2005,4.9
Sep-2005,5
Oct-2005,5
Nov-2005,5
Dec-2005,4.9
Jan-2006,4.7
Feb-2006,4.8
Mar-2006,4.7
Apr-2006,4.7
May-2006,4.6
Jun-2006,4.6
Jul-2006,4.7
Aug-2006,4.7
Sep-2006,4.5
Oct-2006,4.4
Nov-2006,4.5
Dec-2006,4.4
Jan-2007,4.6
Feb-2007,4.5
Mar-2007,4.4
Apr-2007,4.5
May-2007,4.4
Jun-2007,4.6
Jul-2007,4.7
Aug-2007,4.6
Sep-2007,4.7
Oct-2007,4.7
Nov-2007,4.7
Dec-2007,5
Jan-2008,5
Feb-2008,4.9
Mar-2008,5.1
Apr-2008,5
May-2008,5.4
Jun-2008,5.6
Jul-2008,5.8
Aug-2008,6.1
Sep-2008,6.1
Oct-2008,6.5
Nov-2008,6.8
Dec-2008,7.3
Jan-2009,7.8
Feb-2009,8.3
Mar-2009,8.7
Apr-2009,9
May-2009,9.4
Jun-2009,9.5
Jul-2009,9.5
Aug-2009,9.6
Sep-2009,9.8
Oct-2009,10
Nov-2009,9.9
Dec-2009,9.9
Jan-2010,9.8
Feb-2010,9.8
Mar-2010,9.9
Apr-2010,9.9
May-2010,9.6
Jun-2010,9.4
Jul-2010,9.4
Aug-2010,9.5
Sep-2010,9.5
Oct-2010,9.4
Nov-2010,9.8
Dec-2010,9.3
Jan-2011,9.1
Feb-2011,9
Mar-2011,9
Apr-2011,9.1
May-2011,9
Jun-2011,9.1
Jul-2011,9
Aug-2011,9
Sep-2011,9
Oct-2011,8.8
Nov-2011,8.6
Dec-2011,8.5
Jan-2012,8.3
Feb-2012,8.3
Mar-2012,8.2
Apr-2012,8.2
May-2012,8.2
Jun-2012,8.2
Jul-2012,8.2
Aug-2012,8.1
Sep-2012,7.8
Oct-2012,7.8
Nov-2012,7.7
Dec-2012,7.9
Jan-2013,8
Feb-2013,7.7
Mar-2013,7.5
Apr-2013,7.6
May-2013,7.5
Jun-2013,7.5
Jul-2013,7.3
Aug-2013,7.2
Sep-2013,7.2
Oct-2013,7.2
Nov-2013,6.9
Dec-2013,6.7
Jan-2014,6.6
Feb-2014,6.7
Mar-2014,6.7
Apr-2014,6.2
May-2014,6.3
Jun-2014,6.1
Jul-2014,6.2
Aug-2014,6.1
Sep-2014,5.9
Oct-2014,5.7
Nov-2014,5.8
Dec-2014,5.6
Jan-2015,5.7
Feb-2015,5.5
Mar-2015,5.4
Apr-2015,5.4
May-2015,5.6
Jun-2015,5.3
Jul-2015,5.2
Aug-2015,5.1
Sep-2015,5
Oct-2015,5
Nov-2015,5.1
Dec-2015,5
Jan-2016,4.8
Feb-2016,4.9
Mar-2016,5
Apr-2016,5.1
May-2016,4.8
Jun-2016,4.9
Jul-2016,4.8
Aug-2016,4.9
Sep-2016,5
Oct-2016,4.9
Nov-2016,4.7
Dec-2016,4.7
Jan-2017,4.7
Feb-2017,4.6
Mar-2017,4.4
Apr-2017,4.5
May-2017,4.4
Jun-2017,4.3
Jul-2017,4.3
Aug-2017,4.4
Sep-2017,4.2
Oct-2017,4.1
Nov-2017,4.2
Dec-2017,4.1
Jan-2018,4
Feb-2018,4.1
Mar-2018,4
Apr-2018,4
May-2018,3.8
Jun-2018,4
Jul-2018,3.8
Aug-2018,3.8
Sep-2018,3.7
Oct-2018,3.8
Nov-2018,3.8
Dec-2018,3.9
Jan-2019,4
Feb-2019,3.8
Mar-2019,3.8
Apr-2019,3.7
May-2019,3.7
Jun-2019,3.6
Jul-2019,3.6
Aug-2019,3.7
Sep-2019,3.5
Oct-2019,3.6
Nov-2019,3.6
Dec-2019,3.6
Jan-2020,3.5
Feb-2020,3.5
Mar-2020,4.4
Apr-2020,14.8
May-2020,13.3
Jun-2020,11.1
Jul-2020,10.2
Aug-2020,8.4
Sep-2020,7.8
Oct-2020,6.9
Nov-2020,6.7
Dec-2020,6.7
Jan-2021,6.3
Feb-2021,6.2
Mar-2021,6
Apr-2021,6.1
May-2021,5.8
Jun-2021,5.9
Jul-2021,5.4
